index,index_start_at,integer,float,name,surname,fullname,email,bool
1,56,7,12.3075,Judy,Eason,Ralph Adkins,wesley@mcmahon.pk,false
2,57,2,19.7233,Bob,Norton,Dwight Alexander,andrew@duke.pa,false
3,58,23,18.5571,Audrey,Kane,Veronica Stuart,claire@fischer.py,true
4,59,32,15.9961,Randy,Denton,Thelma Coates,karen@gunter.bh,true
5,60,46,11.1572,Edna,Wu,Wade Adkins,chris@yates.cw,true
6,61,40,17.5164,Allan,O,Marlene Pickett,neal@knight.sg,false
7,62,17,11.4009,Constance,Terrell,Alex Elmore,glenda@berger.si,true
8,63,13,17.6963,Justin,Boyd,Vanessa Phillips,danny@clarke.va,true
9,64,31,12.0852,Marian,McDonald,Brenda Sharpe,dolores@schultz.bf,true
10,65,0,13.1255,Eddie,Bray,Bernard Dickson,barry@mckenna.lk,false
11,66,48,12.9295,Bob,Pickett,Sherri Kaplan,diana@alexander.gp,true
12,67,7,10.4708,Julian,Chandler,Barbara Henson,ronnie@ferrell.cr,false
13,68,22,18.5374,Jon,Chen,Robert Reid,lillian@harris.mp,false
14,69,17,15.4234,Edgar,Petersen,Roy Chan,jeanne@cochran.mr,true
15,70,22,16.4472,Harold,Moon,Patrick Caldwell,rita@boyd.is,false
16,71,38,12.9991,Keith,Kent,Vincent Byrd,peggy@welch.sl,true
17,72,18,19.6285,Elaine,Kay,Robin Whitaker,christy@vaughan.nc,true
18,73,41,18.4797,Gene,Robinson,Sarah Hirsch,vickie@bolton.cz,false
19,74,46,19.1133,Shannon,Haynes,Audrey Gross,vivian@manning.gu,true
20,75,37,11.0571,Julie,O,Jacob McMillan,edna@matthews.ma,false
21,76,1,15.13,Paige,Pollard,William Chung,leigh@lloyd.vg,true
22,77,7,14.8443,Courtney,Waller,Troy Gross,wesley@miles.mw,true
23,78,38,17.6184,Judith,Brady,Sherri Christensen,vanessa@bowden.ps,false
24,79,32,14.2858,Leon,Spencer,Bonnie York,jonathan@stanton.sj,true
25,80,40,18.5488,Carrie,Alexander,Christina Albright,brian@stout.mf,true
26,81,17,18.5885,Hannah,May,Kimberly Oakley,bob@riley.mq,true
27,82,16,12.1397,Mark,Bowden,Scott Barton,audrey@connor.sc,true
28,83,10,18.1763,Audrey,Melton,Danny Forrest,claude@davies.nf,true
29,84,21,12.9736,Carol,Daniels,Rachel Walton,darlene@heller.bg,false
30,85,49,19.9487,Gina,Freedman,Nina Fischer,marvin@brady.jm,true
